id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
120,Oak Beach near Port Douglas,Oak Beach near Port Douglas,Oak Beach near Port Douglas,Oak Beach near Port Douglas,,6,4,26,,
121,Palm Cove,Palm Cove,Palm Cove,Palm Cove,,6,4,26,51,5906
122,Paynesville,Paynesville,Paynesville,Paynesville,1836,6,7,22,,
123,Pemberton,Pemberton,Pemberton,Pemberton,1842,6,8,24,,
124,Perth,Perth,Perth,Perth,1854,6,8,23,51,3335
125,"Perth, Belmont (Airport)","Perth, Belmont (Airport)","Perth, Belmont (Airport)","Perth, Belmont (Airport)",,6,8,23,,
126,"Perth, Scarborough","Perth, Scarborough","Perth, Scarborough","Perth, Scarborough",,6,8,23,,
127,Pokolbin,Pokolbin,Pokolbin,Pokolbin,,6,2,17,,
128,Port Arthur,Port Arthur,Port Arthur,Port Arthur,1911,6,6,21,,
129,Port Augusta,Port Augusta,Port Augusta,Port Augusta,1912,6,5,20,,
130,Port Campbell,Port Campbell,Port Campbell,Port Campbell,1916,6,7,11,,
131,Port Douglas,Port Douglas,Port Douglas,Port Douglas,1917,6,4,26,51,3349
132,Port Fairy,Port Fairy,Port Fairy,Port Fairy,1921,6,7,11,,
133,Port Lincoln,Port Lincoln,Port Lincoln,Port Lincoln,1925,6,5,20,51,6211
134,Port Macquarie,Port Macquarie,Port Macquarie,Port Macquarie,1926,6,2,17,,
135,Purnululu Nationalpark,Purnululu Nationalpark,Purnululu Nationalpark,Purnululu Nationalpark,,6,8,13,,
136,Rainbow Beach,Rainbow Beach,Rainbow Beach,Rainbow Beach,2018,6,4,19,51,37129
137,Rawnsley Park,Rawnsley Park,Rawnsley Park,Rawnsley Park,,6,5,7,,
138,Robe,Robe,Robe,Robe,2061,6,5,20,,
139,Rottnest Island,Rottnest Island,Rottnest Island,Rottnest Island,2081,6,8,23,,
140,Shark Bay,Shark Bay,Shark Bay,Shark Bay,,6,8,27,,
141,St. Helens,St. Helens,St. Helens,St. Helens,2288,6,6,21,,
142,Strahan,Strahan,Strahan,Strahan,2311,6,6,21,51,5904
