id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
24,"Barossa Valley, Lyndoch","Barossa Valley, Lyndoch","Barossa Valley, Lyndoch","Barossa Valley, Lyndoch",,13,5,20,,
25,"Barossa Valley, Tanunda","Barossa Valley, Tanunda","Barossa Valley, Tanunda","Barossa Valley, Tanunda",,13,5,20,,
26,"Batchelor, Litchfield NP","Batchelor, Litchfield NP","Batchelor, Litchfield NP","Batchelor, Litchfield NP",,13,3,25,,
27,Brisbane,Brisbane,Brisbane,Brisbane,267,13,4,19,51,3337
28,Broome,Broome,Broome,Broome,272,13,8,27,51,3331
29,"Broome, Yardoogarra","Broome, Yardoogarra","Broome, Yardoogarra","Broome, Yardoogarra",,13,8,23,,
30,"Bundaberg, Sharon","Bundaberg, Sharon","Bundaberg, Sharon","Bundaberg, Sharon",,13,4,19,,
31,Busselton,Busselton,Busselton,Busselton,292,13,8,24,51,121852
32,Cairns,Cairns,Cairns,Cairns,305,13,4,26,51,3332
33,"Canberra, Barton","Canberra, Barton","Canberra, Barton","Canberra, Barton",,13,1,5,,
34,Cape Range Nationalpark,Cape Range Nationalpark,Cape Range Nationalpark,Cape Range Nationalpark,,13,8,23,,
35,"Cape Tribulation, Diwan","Cape Tribulation, Diwan","Cape Tribulation, Diwan","Cape Tribulation, Diwan",,13,4,26,,
36,Cervantes,Cervantes,Cervantes,Cervantes,384,13,8,27,,
37,Christmas Island,Christmas Island,Christmas Island,Christmas Island,425,13,,,51,122084
38,Clare,Clare,Clare,Clare,,13,5,20,,
39,Cobbold Gorge (via Forsayth),Cobbold Gorge (via Forsayth),Cobbold Gorge (via Forsayth),Cobbold Gorge (via Forsayth),,13,4,15,,
40,Coffs Harbour,Coffs Harbour,Coffs Harbour,Coffs Harbour,453,13,2,17,,
41,Coles Bay,Coles Bay,Coles Bay,Coles Bay,,13,6,8,,
42,Coober Pedy,Coober Pedy,Coober Pedy,Coober Pedy,466,13,5,20,51,115752
43,Cooktown,Cooktown,Cooktown,Cooktown,467,13,4,26,,
44,"Cooktown, Helenvale","Cooktown, Helenvale","Cooktown, Helenvale","Cooktown, Helenvale",,13,4,26,,
45,Coral Bay,Coral Bay,Coral Bay,Coral Bay,473,13,8,27,51,3356
46,"Corlette, Port Stephens","Corlette, Port Stephens","Corlette, Port Stephens","Corlette, Port Stephens",,13,2,17,,
47,Cradle Mountain Nationalpark,Cradle Mountain Nationalpark,Cradle Mountain Nationalpark,Cradle Mountain Nationalpark,,13,6,6,,
48,"Daintree Nationalpark, Cape Tribulation","Daintree Nationalpark, Cape Tribulation","Daintree Nationalpark, Cape Tribulation","Daintree Nationalpark, Cape Tribulation",,13,4,26,,
49,Dampier Peninsula,Dampier Peninsula,Dampier Peninsula,Dampier Peninsula,,13,8,13,,
50,Darwin,Darwin,Darwin,Darwin,525,13,3,25,51,3338
51,Denham,Denham,Denham,Denham,546,13,8,27,51,121849
52,El Questro Wilderness Park,El Questro Wilderness Park,El Questro Wilderness Park,El Questro Wilderness Park,,13,8,13,,
53,Esperance,Esperance,Esperance,Esperance,625,13,8,24,51,122079
54,Eungella Nationalpark,Eungella Nationalpark,Eungella Nationalpark,Eungella Nationalpark,640,13,4,19,,
55,Exmouth,Exmouth,Exmouth,Exmouth,644,13,8,27,51,6210
56,Fitzroy Crossing,Fitzroy Crossing,Fitzroy Crossing,Fitzroy Crossing,661,13,8,13,,
57,Fitzroy Island,Fitzroy Island,Fitzroy Island,Fitzroy Island,662,13,4,26,,
58,Flinders,Flinders,Flinders,Flinders,,13,7,22,,
59,Fraser Island,Fraser Island,Fraser Island,Fraser Island,698,13,4,10,,
60,Fremantle,Fremantle,Fremantle,Fremantle,704,13,8,23,51,115327
61,Geraldton,Geraldton,Geraldton,Geraldton,733,13,8,27,34,82162
62,Glasshouse Mountains,Glasshouse Mountains,Glasshouse Mountains,Glasshouse Mountains,,13,4,19,,
63,Glen Helen,Glen Helen,Glen Helen,Glen Helen,749,13,3,16,,
64,Halls Creek,Halls Creek,Halls Creek,Halls Creek,836,13,8,13,,
65,Halls Gap,Halls Gap,Halls Gap,Halls Gap,837,13,7,9,,
66,Hamilton,Hamilton,Hamilton,Hamilton,840,13,6,21,34,57758
67,Hamilton Island,Hamilton Island,Hamilton Island,Hamilton Island,841,13,4,10,51,57785
68,Hayman Island,Hayman Island,Hayman Island,Hayman Island,860,13,4,10,,
69,Heron Island,Heron Island,Heron Island,Heron Island,873,13,4,10,,
70,Hervey Bay,Hervey Bay,Hervey Bay,Hervey Bay,874,13,4,19,51,3347
71,Hidden Valley,Hidden Valley,Hidden Valley,Hidden Valley,876,13,4,19,,
72,Hobart,Hobart,Hobart,Hobart,885,13,6,21,51,3340
73,Huskisson,Huskisson,Huskisson,Huskisson,,13,2,17,,
74,"Kakadu Nationalpark, Cooinda","Kakadu Nationalpark, Cooinda","Kakadu Nationalpark, Cooinda","Kakadu Nationalpark, Cooinda",,13,3,25,,
